comName,sciName,measure_name,time,detections_cnt
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-11T14:00:00,7
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-11T15:00:00,29
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-11T16:00:00,6
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-11T17:00:00,3
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-11T22:00:00,3
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-12T14:00:00,2
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-12T15:00:00,5
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-12T16:00:00,4
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-12T18:00:00,3
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-12T20:00:00,2
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-12T22:00:00,2
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13T14:00:00,6
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13T15:00:00,30
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13T16:00:00,3
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13T17:00:00,13
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13T18:00:00,2
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13T19:00:00,5
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13T20:00:00,2
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13T23:00:00,3
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-14T14:00:00,4
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-14T15:00:00,7
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-14T16:00:00,9
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-14T17:00:00,2
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-14T20:00:00,2
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-14T22:00:00,11
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-15T14:00:00,3
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-15T15:00:00,15
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-15T16:00:00,5
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-15T17:00:00,7
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16T14:00:00,4
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16T15:00:00,2
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16T16:00:00,2
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16T17:00:00,9
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16T19:00:00,6
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16T20:00:00,4
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16T21:00:00,9
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16T22:00:00,6
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-17T14:00:00,7
Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-17T15:00:00,4
Bewicks Wren,Thryomanes bewickii,Confidence,2024-02-13T17:00:00,6
Bewicks Wren,Thryomanes bewickii,Confidence,2024-02-14T20:00:00,3
Bewicks Wren,Thryomanes bewickii,Confidence,2024-02-15T16:00:00,2
Acorn Woodpecker,Melanerpes formicivorus,Confidence,2024-02-12T23:00:00,2
Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-11T14:00:00,2
Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-11T17:00:00,28
Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-11T18:00:00,7
