,comName,sciName,measure_name,time,detections_cnt
0,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-27 17:00:00.000000000,17
1,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-27 18:00:00.000000000,5
2,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-27 19:00:00.000000000,5
3,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-27 20:00:00.000000000,6
4,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-27 21:00:00.000000000,3
5,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-27 22:00:00.000000000,3
6,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-28 14:00:00.000000000,3
7,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-28 15:00:00.000000000,10
8,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-28 16:00:00.000000000,4
9,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-28 18:00:00.000000000,10
10,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-28 19:00:00.000000000,26
11,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-28 20:00:00.000000000,5
12,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-28 21:00:00.000000000,3
13,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-01-28 23:00:00.000000000,10
14,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-11 14:00:00.000000000,7
15,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-11 15:00:00.000000000,29
16,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-11 16:00:00.000000000,6
17,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-11 17:00:00.000000000,3
18,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-11 22:00:00.000000000,3
19,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-12 14:00:00.000000000,2
20,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-12 15:00:00.000000000,5
21,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-12 16:00:00.000000000,4
22,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-12 18:00:00.000000000,3
23,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-12 20:00:00.000000000,2
24,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-12 22:00:00.000000000,2
25,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13 14:00:00.000000000,6
26,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13 15:00:00.000000000,30
27,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13 16:00:00.000000000,3
28,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13 17:00:00.000000000,13
29,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13 18:00:00.000000000,2
30,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13 19:00:00.000000000,5
31,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13 20:00:00.000000000,2
32,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-13 23:00:00.000000000,3
33,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-14 14:00:00.000000000,4
34,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-14 15:00:00.000000000,7
35,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-14 16:00:00.000000000,9
36,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-14 17:00:00.000000000,2
37,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-14 20:00:00.000000000,2
38,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-14 22:00:00.000000000,11
39,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-15 14:00:00.000000000,3
40,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-15 15:00:00.000000000,15
41,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-15 16:00:00.000000000,5
42,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-15 17:00:00.000000000,7
43,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16 14:00:00.000000000,4
44,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16 15:00:00.000000000,2
45,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16 16:00:00.000000000,2
46,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16 17:00:00.000000000,9
47,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16 19:00:00.000000000,6
48,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16 20:00:00.000000000,4
49,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16 21:00:00.000000000,9
50,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-16 22:00:00.000000000,6
51,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-17 14:00:00.000000000,7
52,Red-breasted Nuthatch,Sitta canadensis,Confidence,2024-02-17 15:00:00.000000000,4
53,Bewicks Wren,Thryomanes bewickii,Confidence,2024-01-28 14:00:00.000000000,2
54,Bewicks Wren,Thryomanes bewickii,Confidence,2024-01-28 17:00:00.000000000,2
55,Bewicks Wren,Thryomanes bewickii,Confidence,2024-01-28 18:00:00.000000000,2
56,Bewicks Wren,Thryomanes bewickii,Confidence,2024-01-28 22:00:00.000000000,11
57,Bewicks Wren,Thryomanes bewickii,Confidence,2024-02-13 17:00:00.000000000,6
58,Bewicks Wren,Thryomanes bewickii,Confidence,2024-02-14 20:00:00.000000000,3
59,Bewicks Wren,Thryomanes bewickii,Confidence,2024-02-15 16:00:00.000000000,2
60,Acorn Woodpecker,Melanerpes formicivorus,Confidence,2024-02-12 23:00:00.000000000,2
61,Stellers Jay,Cyanocitta stelleri,Confidence,2024-01-27 17:00:00.000000000,54
62,Stellers Jay,Cyanocitta stelleri,Confidence,2024-01-27 18:00:00.000000000,56
63,Stellers Jay,Cyanocitta stelleri,Confidence,2024-01-28 14:00:00.000000000,2
64,Stellers Jay,Cyanocitta stelleri,Confidence,2024-01-28 16:00:00.000000000,11
65,Stellers Jay,Cyanocitta stelleri,Confidence,2024-01-28 17:00:00.000000000,2
66,Stellers Jay,Cyanocitta stelleri,Confidence,2024-01-29 00:00:00.000000000,2
67,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-11 14:00:00.000000000,2
68,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-11 17:00:00.000000000,28
69,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-11 18:00:00.000000000,7
70,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-12 14:00:00.000000000,17
71,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-12 18:00:00.000000000,7
72,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-12 19:00:00.000000000,4
73,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-13 15:00:00.000000000,13
74,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-13 16:00:00.000000000,11
75,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-13 21:00:00.000000000,8
76,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-13 22:00:00.000000000,15
77,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-14 14:00:00.000000000,5
78,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-14 18:00:00.000000000,16
79,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-14 19:00:00.000000000,5
80,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-14 20:00:00.000000000,5
81,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-15 14:00:00.000000000,5
82,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-15 15:00:00.000000000,7
83,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-15 16:00:00.000000000,3
84,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-16 00:00:00.000000000,3
85,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-16 16:00:00.000000000,19
86,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-16 20:00:00.000000000,2
87,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-16 23:00:00.000000000,2
88,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-17 14:00:00.000000000,10
89,Stellers Jay,Cyanocitta stelleri,Confidence,2024-02-17 15:00:00.000000000,2
90,,test,memory_utilization,2024-02-17 16:00:00.000000000,1
91,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-01-27 17:00:00.000000000,16
92,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-01-27 18:00:00.000000000,9
93,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-01-28 14:00:00.000000000,3
94,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-01-28 16:00:00.000000000,7
95,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-01-28 22:00:00.000000000,3
96,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-02-11 17:00:00.000000000,3
97,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-02-11 20:00:00.000000000,2
98,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-02-13 15:00:00.000000000,3
99,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-02-13 16:00:00.000000000,4
100,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-02-13 17:00:00.000000000,4
101,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-02-13 18:00:00.000000000,2
102,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-02-13 21:00:00.000000000,3
103,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-02-13 22:00:00.000000000,6
104,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-02-13 23:00:00.000000000,2
105,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-02-14 18:00:00.000000000,4
106,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-02-16 16:00:00.000000000,4
107,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-02-16 20:00:00.000000000,4
108,Red-tailed Hawk,Buteo jamaicensis,Confidence,2024-02-17 14:00:00.000000000,2
109,Bushtit,Psaltriparus minimus,Confidence,2024-01-28 00:00:00.000000000,7
110,Bushtit,Psaltriparus minimus,Confidence,2024-01-28 01:00:00.000000000,13
111,Bushtit,Psaltriparus minimus,Confidence,2024-01-28 14:00:00.000000000,6
112,Bushtit,Psaltriparus minimus,Confidence,2024-01-28 15:00:00.000000000,5
113,Bushtit,Psaltriparus minimus,Confidence,2024-01-28 20:00:00.000000000,3
114,Bushtit,Psaltriparus minimus,Confidence,2024-01-28 21:00:00.000000000,3
115,Bushtit,Psaltriparus minimus,Confidence,2024-01-28 22:00:00.000000000,3
116,Bushtit,Psaltriparus minimus,Confidence,2024-01-28 23:00:00.000000000,2
117,Bushtit,Psaltriparus minimus,Confidence,2024-02-11 14:00:00.000000000,2
118,Bushtit,Psaltriparus minimus,Confidence,2024-02-12 01:00:00.000000000,3
119,Bushtit,Psaltriparus minimus,Confidence,2024-02-13 15:00:00.000000000,2
120,Bushtit,Psaltriparus minimus,Confidence,2024-02-14 01:00:00.000000000,10
121,Bushtit,Psaltriparus minimus,Confidence,2024-02-14 16:00:00.000000000,6
122,Bushtit,Psaltriparus minimus,Confidence,2024-02-15 23:00:00.000000000,7
123,Bushtit,Psaltriparus minimus,Confidence,2024-02-16 01:00:00.000000000,3
124,Bushtit,Psaltriparus minimus,Confidence,2024-02-16 17:00:00.000000000,2
125,Bushtit,Psaltriparus minimus,Confidence,2024-02-17 14:00:00.000000000,2
126,White-breasted Nuthatch,Sitta carolinensis,Confidence,2024-01-27 18:00:00.000000000,2
127,White-breasted Nuthatch,Sitta carolinensis,Confidence,2024-01-27 20:00:00.000000000,5
128,White-breasted Nuthatch,Sitta carolinensis,Confidence,2024-01-28 15:00:00.000000000,3
129,White-breasted Nuthatch,Sitta carolinensis,Confidence,2024-01-28 17:00:00.000000000,2
130,White-breasted Nuthatch,Sitta carolinensis,Confidence,2024-01-28 18:00:00.000000000,2
131,White-breasted Nuthatch,Sitta carolinensis,Confidence,2024-01-28 19:00:00.000000000,4
132,White-breasted Nuthatch,Sitta carolinensis,Confidence,2024-01-28 20:00:00.000000000,7
133,White-breasted Nuthatch,Sitta carolinensis,Confidence,2024-01-28 21:00:00.000000000,2
134,White-breasted Nuthatch,Sitta carolinensis,Confidence,2024-01-28 22:00:00.000000000,5
135,White-breasted Nuthatch,Sitta carolinensis,Confidence,2024-02-13 16:00:00.000000000,6
136,White-breasted Nuthatch,Sitta carolinensis,Confidence,2024-02-16 15:00:00.000000000,12
137,House Finch,Haemorhous mexicanus,Confidence,2024-01-27 18:00:00.000000000,5
138,House Finch,Haemorhous mexicanus,Confidence,2024-01-27 20:00:00.000000000,8
139,House Finch,Haemorhous mexicanus,Confidence,2024-01-27 21:00:00.000000000,4
140,House Finch,Haemorhous mexicanus,Confidence,2024-01-28 00:00:00.000000000,2
141,House Finch,Haemorhous mexicanus,Confidence,2024-01-28 15:00:00.000000000,7
142,House Finch,Haemorhous mexicanus,Confidence,2024-01-28 16:00:00.000000000,2
143,House Finch,Haemorhous mexicanus,Confidence,2024-01-28 18:00:00.000000000,3
144,House Finch,Haemorhous mexicanus,Confidence,2024-01-28 19:00:00.000000000,3
145,House Finch,Haemorhous mexicanus,Confidence,2024-01-28 21:00:00.000000000,4
146,House Finch,Haemorhous mexicanus,Confidence,2024-01-28 22:00:00.000000000,4
147,House Finch,Haemorhous mexicanus,Confidence,2024-01-28 23:00:00.000000000,12
148,House Finch,Haemorhous mexicanus,Confidence,2024-01-29 00:00:00.000000000,7
149,House Finch,Haemorhous mexicanus,Confidence,2024-01-29 01:00:00.000000000,2
150,House Finch,Haemorhous mexicanus,Confidence,2024-02-11 15:00:00.000000000,2
151,House Finch,Haemorhous mexicanus,Confidence,2024-02-11 20:00:00.000000000,2
152,House Finch,Haemorhous mexicanus,Confidence,2024-02-16 01:00:00.000000000,2
153,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-01-28 16:00:00.000000000,2
154,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-01-28 20:00:00.000000000,7
155,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-01-28 22:00:00.000000000,3
156,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-01-28 23:00:00.000000000,6
157,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-01-29 00:00:00.000000000,2
158,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-02-12 17:00:00.000000000,2
159,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-02-13 17:00:00.000000000,2
160,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-02-15 14:00:00.000000000,2
161,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-02-15 19:00:00.000000000,2
162,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-02-15 23:00:00.000000000,3
163,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-02-16 00:00:00.000000000,2
164,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-02-16 17:00:00.000000000,2
165,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-02-16 21:00:00.000000000,3
166,Cedar Waxwing,Bombycilla cedrorum,Confidence,2024-02-16 22:00:00.000000000,2
167,Black Phoebe,Sayornis nigricans,Confidence,2024-02-11 15:00:00.000000000,3
168,Black Phoebe,Sayornis nigricans,Confidence,2024-02-11 17:00:00.000000000,7
169,Black Phoebe,Sayornis nigricans,Confidence,2024-02-12 14:00:00.000000000,4
170,Black Phoebe,Sayornis nigricans,Confidence,2024-02-12 18:00:00.000000000,7
171,Black Phoebe,Sayornis nigricans,Confidence,2024-02-12 19:00:00.000000000,4
172,Black Phoebe,Sayornis nigricans,Confidence,2024-02-13 15:00:00.000000000,2
173,Black Phoebe,Sayornis nigricans,Confidence,2024-02-13 17:00:00.000000000,4
174,Black Phoebe,Sayornis nigricans,Confidence,2024-02-13 18:00:00.000000000,2
175,Black Phoebe,Sayornis nigricans,Confidence,2024-02-16 14:00:00.000000000,14
176,Black Phoebe,Sayornis nigricans,Confidence,2024-02-16 15:00:00.000000000,4
177,Black Phoebe,Sayornis nigricans,Confidence,2024-02-16 18:00:00.000000000,2
178,Great Horned Owl,Bubo virginianus,Confidence,2024-01-28 05:00:00.000000000,2
179,Great Horned Owl,Bubo virginianus,Confidence,2024-02-11 08:00:00.000000000,5
180,Great Horned Owl,Bubo virginianus,Confidence,2024-02-11 09:00:00.000000000,3
181,Great Horned Owl,Bubo virginianus,Confidence,2024-02-11 10:00:00.000000000,4
182,Great Horned Owl,Bubo virginianus,Confidence,2024-02-12 11:00:00.000000000,70
183,Great Horned Owl,Bubo virginianus,Confidence,2024-02-12 12:00:00.000000000,12
184,Great Horned Owl,Bubo virginianus,Confidence,2024-02-12 13:00:00.000000000,2
185,Great Horned Owl,Bubo virginianus,Confidence,2024-02-13 07:00:00.000000000,21
186,Great Horned Owl,Bubo virginianus,Confidence,2024-02-13 10:00:00.000000000,5
187,Great Horned Owl,Bubo virginianus,Confidence,2024-02-14 02:00:00.000000000,2
188,Great Horned Owl,Bubo virginianus,Confidence,2024-02-14 09:00:00.000000000,15
189,Great Horned Owl,Bubo virginianus,Confidence,2024-02-14 10:00:00.000000000,2
190,Great Horned Owl,Bubo virginianus,Confidence,2024-02-14 11:00:00.000000000,18
191,Great Horned Owl,Bubo virginianus,Confidence,2024-02-14 12:00:00.000000000,39
192,Great Horned Owl,Bubo virginianus,Confidence,2024-02-14 14:00:00.000000000,11
193,Great Horned Owl,Bubo virginianus,Confidence,2024-02-15 10:00:00.000000000,2
194,Great Horned Owl,Bubo virginianus,Confidence,2024-02-16 11:00:00.000000000,6
195,Great Horned Owl,Bubo virginianus,Confidence,2024-02-17 04:00:00.000000000,2
196,Great Horned Owl,Bubo virginianus,Confidence,2024-02-17 07:00:00.000000000,101
197,Great Horned Owl,Bubo virginianus,Confidence,2024-02-17 08:00:00.000000000,2
198,Nuttalls Woodpecker,Dryobates nuttallii,Confidence,2024-01-27 19:00:00.000000000,2
199,Nuttalls Woodpecker,Dryobates nuttallii,Confidence,2024-01-28 16:00:00.000000000,3
200,Nuttalls Woodpecker,Dryobates nuttallii,Confidence,2024-01-28 18:00:00.000000000,2
201,Nuttalls Woodpecker,Dryobates nuttallii,Confidence,2024-01-28 19:00:00.000000000,4
202,Nuttalls Woodpecker,Dryobates nuttallii,Confidence,2024-01-28 21:00:00.000000000,2
203,Nuttalls Woodpecker,Dryobates nuttallii,Confidence,2024-01-28 22:00:00.000000000,6
204,Nuttalls Woodpecker,Dryobates nuttallii,Confidence,2024-01-28 23:00:00.000000000,7
205,Nuttalls Woodpecker,Dryobates nuttallii,Confidence,2024-01-29 00:00:00.000000000,3
206,Nuttalls Woodpecker,Dryobates nuttallii,Confidence,2024-02-16 15:00:00.000000000,2
207,Nuttalls Woodpecker,Dryobates nuttallii,Confidence,2024-02-16 19:00:00.000000000,2
208,American Crow,Corvus brachyrhynchos,Confidence,2024-01-27 18:00:00.000000000,4
209,American Crow,Corvus brachyrhynchos,Confidence,2024-01-27 23:00:00.000000000,27
210,American Crow,Corvus brachyrhynchos,Confidence,2024-01-28 15:00:00.000000000,2
211,American Crow,Corvus brachyrhynchos,Confidence,2024-01-28 16:00:00.000000000,5
212,American Crow,Corvus brachyrhynchos,Confidence,2024-01-28 18:00:00.000000000,6
213,American Crow,Corvus brachyrhynchos,Confidence,2024-01-28 19:00:00.000000000,8
214,American Crow,Corvus brachyrhynchos,Confidence,2024-01-28 20:00:00.000000000,6
215,American Crow,Corvus brachyrhynchos,Confidence,2024-01-28 21:00:00.000000000,2
216,American Crow,Corvus brachyrhynchos,Confidence,2024-01-28 23:00:00.000000000,7
217,American Crow,Corvus brachyrhynchos,Confidence,2024-01-29 00:00:00.000000000,2
